index,Port,IATA,ICAO,Latitude,Longitude,Name,Country
73,AHU,AHU,GMTA,35.177101135253906,-3.83951997756958,Cherif Al Idrissi Airport,Morocco
74,AIA,AIA,KAIA,42.0531997681,-102.804000854,Alliance Municipal Airport,United States
75,AIN,AIN,PAWI,70.6380004883,-159.994995117,Wainwright Airport,United States
76,AIT,AIT,NCAI,-18.830900192260746,-159.76400756835938,Aitutaki Airport,Cook Islands
77,AIU,AIU,NCAT,-19.96780014038086,-158.11900329589844,Enua Airport,Cook Islands
78,AJA,AJA,LFKJ,41.92359924316406,8.8029203414917,Ajaccio-Napoléon Bonaparte Airport,France
79,AJF,AJF,OESK,29.78510093688965,40.099998474121094,Al-Jawf Domestic Airport,Saudi Arabia
80,AJI,AJI,LTCO,39.654541015625,43.025978088378906,Ağrı Airport,Turkey
81,AJL,AJL,VELP,23.8405990601,92.6196975708,Lengpui Airport,India
82,AJR,AJR,ESNX,65.59030151367189,19.28190040588379,Arvidsjaur Airport,Sweden
83,AJU,AJU,SBAR,-10.984000206,-37.0703010559,Santa Maria Airport,Brazil
84,AKB,AKB,PAAK,52.22029877,-174.2059937,Atka Airport,United States
85,AKF,AKF,HLKF,24.178699493408203,23.31399917602539,Kufra Airport,Libya
86,AKI,AKI,PFAK,60.9029006958,-161.231002808,Akiak Airport,United States
87,AKJ,AKJ,RJEC,43.670799255371094,142.44700622558594,Asahikawa Airport,Japan
88,AKK,AKK,PAKH,56.9387016296,-154.182998657,Akhiok Airport,United States
89,AKL,AKL,NZAA,-37.0080986023,174.79200744599999,Auckland International Airport,New Zealand
90,AKN,AKN,PAKN,58.67679977,-156.6490021,King Salmon Airport,United States
91,AKP,AKP,PAKP,68.13359833,-151.7429962,Anaktuvuk Pass Airport,United States
92,AKU,AKU,ZWAK,41.262501,80.291702,Aksu Airport,China
93,AKX,AKX,UATT,50.24580001831055,57.20669937133789,Aktobe Airport,Kazakhstan
94,AKY,AKY,VYSW,20.132699966430664,92.87259674072266,Sittwe Airport,Burma
95,ALA,ALA,UAAA,43.35210037231445,77.04049682617188,Almaty Airport,Kazakhstan
96,ALB,ALB,KALB,42.74829864501953,-73.80169677734375,Albany International Airport,United States
97,ALC,ALC,LEAL,38.28219985961914,-0.5581560134887695,Alicante International Airport,Spain
98,ALF,ALF,ENAT,69.976097106934,23.371700286865,Alta Airport,Norway
99,ALG,ALG,DAAG,36.691001892089844,3.215409994125366,Houari Boumediene Airport,Algeria
100,ALH,ALH,YABA,-34.94329833984375,117.80899810791016,Albany Airport,Australia
101,ALO,ALO,KALO,42.55709838867188,-92.40029907226562,Waterloo Regional Airport,United States
102,ALS,ALS,KALS,37.434898,-105.866997,San Luis Valley Regional Bergman Field,United States
103,ALW,ALW,KALW,46.09489822,-118.288002,Walla Walla Regional Airport,United States
104,AMA,AMA,KAMA,35.219398498535156,-101.70600128173828,Rick Husband Amarillo International Airport,United States
105,AMD,AMD,VAAH,23.0771999359,72.63469696039998,Sardar Vallabhbhai Patel International Airport,India
106,AMH,AMH,HAAM,6.0393900871276855,37.59049987792969,Arba Minch Airport,Ethiopia
107,AMM,AMM,OJAI,31.7226009369,35.9931983948,Queen Alia International Airport,Jordan
108,AMQ,AMQ,WAPP,-3.7102599144,128.089004517,"Pattimura Airport, Ambon",Indonesia
109,AMS,AMS,EHAM,52.308601379399995,4.7638897895799985,Amsterdam Airport Schiphol,Netherlands
110,ANC,ANC,PANC,61.174400329589844,-149.99600219726562,Ted Stevens Anchorage International Airport,United States
111,ANF,ANF,SCFA,-23.444499969482425,-70.44509887695312,Cerro Moreno Airport,Chile
112,ANG,ANG,LFBU,45.72919845581055,0.22145600616931915,Angoulême-Brie-Champniers Airport,France
113,ANI,ANI,PANI,61.58160018920898,-159.54299926757812,Aniak Airport,United States
114,ANM,ANM,FMNH,-14.99940013885498,50.3202018737793,Antsirabato Airport,Madagascar
115,ANR,ANR,EBAW,51.189399719200004,4.46027994156,Antwerp International Airport (Deurne),Belgium
116,ANS,ANS,SPHY,-13.706399917602539,-73.35040283203125,Andahuaylas Airport,Peru
117,ANU,ANU,TAPA,17.1367,-61.792702,V.C. Bird International Airport,Antigua and Barbuda
118,ANV,ANV,PANV,62.646702000000005,-160.190994,Anvik Airport,United States
119,ANX,ANX,ENAN,69.292503356934,16.144199371338,Andøya Airport,Norway
120,AOE,AOE,LTBY,39.809898,30.5194,Anadolu Airport,Turkey
121,AOG,AOG,ZYAS,41.105301000000004,122.853996,Anshan Air Base,China
122,AOI,AOI,LIPY,43.616299,13.3623,Ancona Falconara Airport,Italy
123,AOJ,AOJ,RJSA,40.73469924926758,140.69099426269528,Aomori Airport,Japan
124,AOK,AOK,LGKP,35.4213981628418,27.145999908447266,Karpathos Airport,Greece
125,AOO,AOO,KAOO,40.29639816,-78.31999969,Altoona Blair County Airport,United States
127,AOR,AOR,WMKA,6.189670085906982,100.39800262451172,Sultan Abdul Halim Airport,Malaysia
129,APL,APL,FQNP,-15.105600357055664,39.28179931640625,Nampula Airport,Mozambique
130,APN,APN,KAPN,45.07809829999999,-83.56030273,Alpena County Regional Airport,United States
131,APO,APO,SKLC,7.811960000000001,-76.7164,Antonio Roldan Betancourt Airport,Colombia
132,APW,APW,NSFA,-13.829999923706055,-172.00799560546875,Faleolo International Airport,Samoa
133,AQA,AQA,SBAQ,-21.812000274699997,-48.13299942020001,Araraquara Airport,Brazil
134,AQG,AQG,ZSAQ,30.582199,117.050003,Anqing Tianzhushan Airport,China
135,AQI,AQI,OEPA,28.335199,46.125099,Al Qaisumah/Hafr Al Batin Airport,Saudi Arabia
136,AQJ,AQJ,OJAQ,29.61160087585449,35.01810073852539,Aqaba King Hussein International Airport,Jordan
137,AQP,AQP,SPQU,-16.3411006927,-71.5830993652,Rodríguez Ballón International Airport,Peru
138,ARC,ARC,PARC,68.1147,-145.578995,Arctic Village Airport,United States
139,ARH,ARH,ULAA,64.60030364990234,40.71670150756836,Talagi Airport,Russia
140,ARI,ARI,SCAR,-18.348499298095703,-70.33869934082031,Chacalluta Airport,Chile
141,ARK,ARK,HTAR,-3.3677899837493896,36.63330078125,Arusha Airport,Tanzania
142,ARM,ARM,YARM,-30.5280990601,151.617004395,Armidale Airport,Australia
143,ARN,ARN,ESSA,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport,Sweden
144,ART,ART,KART,43.99190139770508,-76.02169799804688,Watertown International Airport,United States
145,ARU,ARU,SBAU,-21.1413002014,-50.4247016907,Araçatuba Airport,Brazil
146,ARW,ARW,LRAR,46.17660140991211,21.261999130249023,Arad International Airport,Romania
147,ASB,ASB,UTAA,37.98680114746094,58.361000061035156,Ashgabat Airport,Turkmenistan
148,ASE,ASE,KASE,39.22320175,-106.8690033,Aspen-Pitkin Co/Sardy Field,United States
149,ASF,ASF,URWA,46.2832984924,48.0063018799,Astrakhan Airport,Russia
150,ASJ,ASJ,RJKA,28.430599212646484,129.71299743652344,Amami Airport,Japan
151,ASM,ASM,HHAS,15.291899681091307,38.91070175170898,Asmara International Airport,Eritrea
152,ASO,ASO,HASO,10.018500328063963,34.586299896240234,Asosa Airport,Ethiopia
153,ASP,ASP,YBAS,-23.806699752807614,133.90199279785156,Alice Springs Airport,Australia
154,ASR,ASR,LTAU,38.770401000999996,35.4953994751,Kayseri Erkilet Airport,Turkey
155,ASU,ASU,SGAS,-25.239999771118164,-57.52000045776367,Silvio Pettirossi International Airport,Paraguay
156,ASV,ASV,HKAM,-2.645050048828125,37.25310134887695,Amboseli Airport,Kenya
157,ASW,ASW,HESN,23.964399337800003,32.8199996948,Aswan International Airport,Egypt
158,ATA,ATA,SPHZ,-9.347439765930176,-77.59839630126953,Comandante FAP German Arias Graziani Airport,Peru
159,ATC,ATC,MYCA,24.6294002533,-75.6737976074,Arthur's Town Airport,Bahamas
160,ATD,ATD,AGAT,-8.873330000000001,161.011002,Uru Harbour Airport,Solomon Islands
161,ATH,ATH,LGAV,37.9364013672,23.944499969499997,Eleftherios Venizelos International Airport,Greece
162,ATK,ATK,PATQ,70.46730041503906,-157.43600463867188,Atqasuk Edward Burnell Sr Memorial Airport,United States
163,ATL,ATL,KATL,33.63669967651367,-84.4281005859375,Hartsfield Jackson Atlanta International Airport,United States
164,ATM,ATM,SBHT,-3.2539100646973,-52.254001617432,Altamira Airport,Brazil
165,ATQ,ATQ,VIAR,31.7096004486,74.7973022461,Sri Guru Ram Dass Jee International Airport,India
167,ATW,ATW,KATW,44.258098602299995,-88.51909637450001,Appleton International Airport,United States
168,ATY,ATY,KATY,44.91400146,-97.15470123,Watertown Regional Airport,United States
169,ATZ,ATZ,HEAT,27.0464992523,31.0119991302,Assiut International Airport,Egypt
170,AUA,AUA,TNCA,12.501399993896484,-70.01519775390625,Queen Beatrix International Airport,Aruba
171,AUC,AUC,SKUC,7.06888,-70.7369,Santiago Perez Airport,Colombia
172,AUG,AUG,KAUG,44.320598602299995,-69.7973022461,Augusta State Airport,United States
173,AUH,AUH,OMAA,24.433000564575195,54.651100158691406,Abu Dhabi International Airport,United Arab Emirates
174,AUK,AUK,PAUK,62.6800422668,-164.65992736799998,Alakanuk Airport,United States
175,AUQ,AUQ,NTMN,-9.76879024506,-139.011001587,Hiva Oa-Atuona Airport,French Polynesia
176,AUR,AUR,LFLW,44.89139938354492,2.4219400882720947,Aurillac Airport,France
177,AUS,AUS,KAUS,30.194499969482425,-97.6698989868164,Austin Bergstrom International Airport,United States
178,AUU,AUU,YAUR,-13.354067,141.72065,Aurukun Airport,Australia
179,AUX,AUX,SWGN,-7.227869999999999,-48.240501,Araguaína Airport,Brazil
180,AUY,AUY,NVVA,-20.2492008209,169.770996094,Aneityum Airport,Vanuatu
181,AVA,AVA,ZUAS,26.2605555556,105.87333333299999,Anshun Huangguoshu Airport,China
182,AVL,AVL,KAVL,35.43619918823242,-82.54180145263672,Asheville Regional Airport,United States
183,AVN,AVN,LFMV,43.90729904174805,4.901830196380615,Avignon-Caumont Airport,France
184,AVP,AVP,KAVP,41.338500976599995,-75.72339630130001,Wilkes Barre Scranton International Airport,United States
185,AVV,AVV,YMAV,-38.039398193400004,144.468994141,Avalon Airport,Australia
186,AWD,AWD,NVVB,-19.2346,169.6009,Aniwa Airport,Vanuatu
187,AWZ,AWZ,OIAW,31.3374004364,48.7620010376,Ahwaz Airport,Iran
188,AXA,AXA,TQPF,18.20479965209961,-63.05509948730469,Wallblake Airport,Anguilla
189,AXD,AXD,LGAL,40.855899810791016,25.956300735473636,Dimokritos Airport,Greece
190,AXK,AXK,OYAT,14.551300048828125,46.82619857788086,Ataq Airport,Yemen
191,AXM,AXM,SKAR,4.452780000000001,-75.7664,El Eden Airport,Colombia
192,AXP,AXP,MYAP,22.441799163800006,-73.97090148930002,Spring Point Airport,Bahamas
193,AXR,AXR,NTGU,-15.248299598693848,-146.61700439453125,Arutua Airport,French Polynesia
194,AXT,AXT,RJSK,39.6156005859375,140.218994140625,Akita Airport,Japan
195,AXU,AXU,HAAX,14.14680004119873,38.77280044555664,Axum Airport,Ethiopia
196,AYP,AYP,SPHO,-13.154800415039062,-74.20439910888672,Coronel FAP Alfredo Mendivil Duarte Airport,Peru
197,AYQ,AYQ,YAYE,-25.1861,130.975998,Ayers Rock Connellan Airport,Australia
198,AYT,AYT,LTAI,36.898701,30.800501,Antalya International Airport,Turkey
199,AZA,AZA,KIWA,33.30780029,-111.65499879999999,Phoenix-Mesa-Gateway Airport,United States
200,AZD,AZD,OIYY,31.904899597199996,54.2765007019,Shahid Sadooghi Airport,Iran
201,AZI,AZI,OMAD,24.428300857543945,54.45809936523438,Bateen Airport,United Arab Emirates
202,AZN,AZN,UTKA,40.7276992798,72.2939987183,Andizhan Airport,Uzbekistan
203,AZO,AZO,KAZO,42.234901428222656,-85.5521011352539,Kalamazoo Battle Creek International Airport,United States
204,AZR,AZR,DAUA,27.83760070800781,-0.1864140033721924,Touat Cheikh Sidi Mohamed Belkebir Airport,Algeria
205,AZS,AZS,MDCY,19.267000198399998,-69.7419967651,Samaná El Catey International Airport,Dominican Republic
206,BAH,BAH,OBBI,26.27079963684082,50.63359832763672,Bahrain International Airport,Bahrain
207,BAL,BAL,LTCJ,37.929000854499996,41.1166000366,Batman Airport,Turkey
208,BAQ,BAQ,SKBQ,10.8896,-74.7808,Ernesto Cortissoz International Airport,Colombia
209,BAV,BAV,ZBOW,40.560001373291016,109.99700164794922,Baotou Airport,China
210,BAX,BAX,UNBB,53.36380004882813,83.53849792480469,Barnaul Airport,Russia
211,BAY,BAY,LRBM,47.65840148925781,23.46999931335449,Tautii Magheraus Airport,Romania
212,BAZ,BAZ,SWBC,-0.981292,-62.919601,Barcelos Airport,Brazil
213,BBA,BBA,SCBA,-45.916099548339844,-71.68949890136719,Balmaceda Airport,Chile
214,BBI,BBI,VEBS,20.2444000244,85.8178024292,Biju Patnaik Airport,India
215,BBK,BBK,FBKE,-17.83289909362793,25.16239929199219,Kasane Airport,Botswana
216,BBN,BBN,WBGZ,3.7338900566101074,115.47899627685548,Bario Airport,Malaysia
217,BBO,BBO,HCMI,10.389200210571287,44.94110107421875,Berbera Airport,Somalia
218,BCD,BCD,RPVB,10.7764,123.014999,Bacolod-Silay City International Airport,Philippines
219,BCI,BCI,YBAR,-23.565299987800003,145.307006836,Barcaldine Airport,Australia
220,BCN,BCN,LEBL,41.297100067139,2.0784599781036,Barcelona International Airport,Spain
221,BCV,BCV,PABV,61.41650009,-149.5070038,Birchwood Airport,Belize
222,BDA,BDA,TXKF,32.363998413085945,-64.67870330810547,L.F. Wade International International Airport,Bermuda
223,BDB,BDB,YBUD,-24.9039001465,152.319000244,Bundaberg Airport,Australia
224,BDH,BDH,OIBL,26.531999588,54.82479858399999,Bandar Lengeh Airport,Iran
225,BDJ,BDJ,WAOO,-3.4423599243164062,114.76300048828124,Syamsudin Noor Airport,Indonesia
226,BDL,BDL,KBDL,41.9388999939,-72.68319702149999,Bradley International Airport,United States
227,BDO,BDO,WICC,-6.900629997253418,107.57599639892578,Husein Sastranegara International Airport,Indonesia
228,BDP,BDP,VNCG,26.5708007812,88.07959747310001,Bhadrapur Airport,Nepal
229,BDQ,BDQ,VABO,22.3362007141,73.2263031006,Vadodara Airport,India
230,BDS,BDS,LIBR,40.6576,17.947001,Brindisi – Salento Airport,Italy
231,BDU,BDU,ENDU,69.055801391602,18.540399551392,Bardufoss Airport,Norway
232,BEB,BEB,EGPL,57.48109817504883,-7.362780094146728,Benbecula Airport,United Kingdom
233,BEG,BEG,LYBE,44.8184013367,20.3090991974,Belgrade Nikola Tesla Airport,Serbia
